Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s)
1,23,23,-17590,3,0,20x21,76176,0.012215
1,39,39,-42792,12,17,14x22,608400,0.235704
1,24,24,-14299,3,4,21x20,90000,0.014583
1,28,28,-13561,5,3,13x10,164836,0.035154
1,66,66,-344390,21,0,45x64,4888521,4.93822
1,67,67,-262577,6,8,60x29,5189284,5.39209
1,79,79,-406222,18,29,60x49,9985600,14.0403
1,10,10,-514,2,0,3x10,3025,0.000124
1,51,51,-153760,5,1,46x35,1758276,1.10968
1,40,40,-41468,0,33,37x7,672400,0.274112
1,80,80,-402170,30,14,49x57,10497600,15.1054
1,27,27,-8200,0,6,19x4,142884,0.02914
1,13,13,-1521,0,2,8x9,8281,0.000488
1,22,22,-5738,0,1,3x21,64009,0.009036
1,43,43,-52565,7,37,36x6,894916,0.41572
1,25,25,-10231,0,5,13x14,105625,0.018728
1,55,55,-129056,32,5,23x41,2371600,1.73304
1,14,14,-2317,2,0,12x9,11025,0.00074
1,72,72,-327809,34,20,38x52,6906384,8.18858
1,20,20,-3702,1,3,5x12,44100,0.005292
1,15,15,-2145,4,1,6x14,14400,0.001028
1,7,7,-284,4,0,2x7,784,2e-05
1,18,18,-4221,0,5,18x7,29241,0.002824
1,45,45,-100837,1,14,42x25,1071225,0.540092
1,4,4,-24,2,0,1x2,100,4e-06
1,2,2,-6,1,0,1x2,9,0
1,74,74,-179177,12,1,12x48,7700625,9.6
1,65,65,-149380,2,37,57x19,4601025,4.56
1,3,3,-22,0,0,3x1,36,0
1,61,61,-176515,0,23,60x32,3575881,3.12744
1,53,53,-127317,20,0,27x51,2047761,1.38598
1,32,32,-38938,4,2,26x26,278784,0.076424
1,75,75,-427790,21,16,49x55,8122500,10.3761
1,34,34,-46313,0,12,31x14,354025,0.108848
1,36,36,-58367,0,0,30x29,443556,0.149896
1,58,58,-188627,9,4,45x30,2927521,2.33159
1,19,19,-3439,7,2,9x5,36100,0.004112
1,68,68,-292209,8,15,59x50,5503716,5.86481
1,76,76,-356242,10,44,51x30,8561476,11.2153
1,70,70,-209499,47,4,23x66,6175225,6.96223
1,16,16,-4055,0,6,15x8,18496,0.001464
1,29,29,-16356,6,10,20x17,189225,0.043416
1,69,69,-242348,3,0,19x51,5832225,6.38766
1,59,59,-256693,13,1,38x45,3132900,2.57765
1,21,21,-6258,10,1,11x10,53361,0.007008
1,71,71,-454587,9,17,55x34,6533136,7.54727
1,44,44,-70042,17,3,22x34,980100,0.476832
1,62,62,-250979,0,0,25x51,3814209,3.43959
1,41,41,-80497,9,1,29x28,741321,0.315848
1,60,60,-158633,21,28,35x32,3348900,2.84139
1,64,64,-122979,56,10,7x30,4326400,4.13126
1,11,11,-910,0,0,10x7,4356,0.00024
1,31,31,-14896,15,4,14x9,246016,0.063552
1,12,12,-1957,5,1,5x11,6084,0.00032
1,37,37,-29113,9,1,28x19,494209,0.17512
1,42,42,-64769,7,6,35x22,815409,0.363216
1,52,52,-109523,19,0,20x48,1898884,1.24274
1,46,46,-89239,2,18,37x28,1168561,0.613632
1,77,77,-400077,21,2,45x32,9018009,12.0932
1,54,54,-127050,5,12,24x42,2205225,1.54696
1,48,48,-69315,6,5,10x40,1382976,0.783072
1,1,1,-1,0,0,1x1,1,0
1,78,78,-667707,0,0,60x69,9492561,13.0318
1,57,57,-261123,2,6,53x39,2732409,2.11262
1,33,33,-26253,18,6,15x26,314721,0.090912
1,17,17,-4046,2,9,15x8,23409,0.00224
1,6,6,-159,1,0,5x3,441,0
1,56,56,-159220,7,16,48x39,2547216,1.90648
1,50,50,-113440,31,0,19x28,1625625,0.988816
1,9,9,-413,2,1,4x5,2025,8e-05
1,8,8,-333,0,1,7x5,1296,4.8e-05
1,30,30,-23367,5,1,17x28,216225,0.052608
1,49,49,-89671,28,2,14x27,1500625,0.881808
1,5,5,-65,1,0,2x4,225,0
1,63,63,-142194,0,14,17x42,4064256,3.76744
1,38,38,-33909,20,2,17x36,549081,0.204528
1,35,35,-32771,3,8,32x15,396900,0.12744
1,47,47,-69670,0,11,28x20,1272384,0.694688
1,26,26,-19376,2,0,20x25,123201,0.023264
1,73,73,-296417,11,0,39x35,7295401,8.86934
2,23,23,-17590,3,0,20x21,76176,0.015233
2,39,39,-42792,12,17,14x22,608400,0.237252
2,24,24,-14299,3,4,21x20,90000,0.014867
2,28,28,-13561,5,3,13x10,164836,0.035816
2,66,66,-344390,21,0,45x64,4888521,4.93515
2,67,67,-262577,6,8,60x29,5189284,5.38188
2,79,79,-406222,18,29,60x49,9985600,14.0308
2,10,10,-514,2,0,3x10,3025,0.00013
2,51,51,-153760,5,1,46x35,1758276,1.10832
2,40,40,-41468,0,33,37x7,672400,0.27522
2,80,80,-402170,30,14,49x57,10497600,15.1217
2,27,27,-8200,0,6,19x4,142884,0.029188
2,13,13,-1521,0,2,8x9,8281,0.000452
2,22,22,-5738,0,1,3x21,64009,0.008952
2,43,43,-52565,7,37,36x6,894916,0.41598
2,25,25,-10231,0,5,13x14,105625,0.018792
2,55,55,-129056,32,5,23x41,2371600,1.71636
2,14,14,-2317,2,0,12x9,11025,0.000704
2,72,72,-327809,34,20,38x52,6906384,8.18636
2,20,20,-3702,1,3,5x12,44100,0.005204
2,15,15,-2145,4,1,6x14,14400,0.001032
2,7,7,-284,4,0,2x7,784,2e-05
2,18,18,-4221,0,5,18x7,29241,0.002988
2,45,45,-100837,1,14,42x25,1071225,0.539344
2,4,4,-24,2,0,1x2,100,0
2,2,2,-6,1,0,1x2,9,0
2,74,74,-179177,12,1,12x48,7700625,9.60516
2,65,65,-149380,2,37,57x19,4601025,4.53743
2,3,3,-22,0,0,3x1,36,0
2,61,61,-176515,0,23,60x32,3575881,3.13951
2,53,53,-127317,20,0,27x51,2047761,1.41905
2,32,32,-38938,4,2,26x26,278784,0.076184
2,75,75,-427790,21,16,49x55,8122500,10.3962
2,34,34,-46313,0,12,31x14,354025,0.108168
2,36,36,-58367,0,0,30x29,443556,0.149848
2,58,58,-188627,9,4,45x30,2927521,2.33566
2,19,19,-3439,7,2,9x5,36100,0.004152
2,68,68,-292209,8,15,59x50,5503716,5.86806
2,76,76,-356242,10,44,51x30,8561476,11.2112
2,70,70,-209499,47,4,23x66,6175225,6.95134
2,16,16,-4055,0,6,15x8,18496,0.00148
2,29,29,-16356,6,10,20x17,189225,0.043272
2,69,69,-242348,3,0,19x51,5832225,6.38866
2,59,59,-256693,13,1,38x45,3132900,2.60119
2,21,21,-6258,10,1,11x10,53361,0.006968
2,71,71,-454587,9,17,55x34,6533136,7.56699
2,44,44,-70042,17,3,22x34,980100,0.473824
2,62,62,-250979,0,0,25x51,3814209,3.43893
2,41,41,-80497,9,1,29x28,741321,0.316328
2,60,60,-158633,21,28,35x32,3348900,2.83871
2,64,64,-122979,56,10,7x30,4326400,4.12061
2,11,11,-910,0,0,10x7,4356,0.000224
2,31,31,-14896,15,4,14x9,246016,0.063296
2,12,12,-1957,5,1,5x11,6084,0.000272
2,37,37,-29113,9,1,28x19,494209,0.174048
2,42,42,-64769,7,6,35x22,815409,0.36128
2,52,52,-109523,19,0,20x48,1898884,1.24077
2,46,46,-89239,2,18,37x28,1168561,0.611024
2,77,77,-400077,21,2,45x32,9018009,12.0753
2,54,54,-127050,5,12,24x42,2205225,1.54134
2,48,48,-69315,6,5,10x40,1382976,0.78128
2,1,1,-1,0,0,1x1,1,0
2,78,78,-667707,0,0,60x69,9492561,12.9961
2,57,57,-261123,2,6,53x39,2732409,2.11962
2,33,33,-26253,18,6,15x26,314721,0.091392
2,17,17,-4046,2,9,15x8,23409,0.002096
2,6,6,-159,1,0,5x3,441,1.6e-05
2,56,56,-159220,7,16,48x39,2547216,1.91126
2,50,50,-113440,31,0,19x28,1625625,0.99312
2,9,9,-413,2,1,4x5,2025,8e-05
2,8,8,-333,0,1,7x5,1296,4.8e-05
2,30,30,-23367,5,1,17x28,216225,0.053168
2,49,49,-89671,28,2,14x27,1500625,0.88152
2,5,5,-65,1,0,2x4,225,0
2,63,63,-142194,0,14,17x42,4064256,3.77253
2,38,38,-33909,20,2,17x36,549081,0.204192
2,35,35,-32771,3,8,32x15,396900,0.128944
2,47,47,-69670,0,11,28x20,1272384,0.693008
2,26,26,-19376,2,0,20x25,123201,0.02336
2,73,73,-296417,11,0,39x35,7295401,8.86294
3,23,23,-17590,3,0,20x21,76176,0.014465
3,39,39,-42792,12,17,14x22,608400,0.238254
3,24,24,-14299,3,4,21x20,90000,0.014738
3,28,28,-13561,5,3,13x10,164836,0.035612
3,66,66,-344390,21,0,45x64,4888521,4.93806
3,67,67,-262577,6,8,60x29,5189284,5.38259
3,79,79,-406222,18,29,60x49,9985600,14.0409
3,10,10,-514,2,0,3x10,3025,0.00013
3,51,51,-153760,5,1,46x35,1758276,1.11162
3,40,40,-41468,0,33,37x7,672400,0.274008
3,80,80,-402170,30,14,49x57,10497600,15.1065
3,27,27,-8200,0,6,19x4,142884,0.028952
3,13,13,-1521,0,2,8x9,8281,0.000484
3,22,22,-5738,0,1,3x21,64009,0.0091
3,43,43,-52565,7,37,36x6,894916,0.416996
3,25,25,-10231,0,5,13x14,105625,0.01854
3,55,55,-129056,32,5,23x41,2371600,1.71581
3,14,14,-2317,2,0,12x9,11025,0.00068
3,72,72,-327809,34,20,38x52,6906384,8.17292
3,20,20,-3702,1,3,5x12,44100,0.005224
3,15,15,-2145,4,1,6x14,14400,0.001052
3,7,7,-284,4,0,2x7,784,2e-05
3,18,18,-4221,0,5,18x7,29241,0.002896
3,45,45,-100837,1,14,42x25,1071225,0.539976
3,4,4,-24,2,0,1x2,100,0
3,2,2,-6,1,0,1x2,9,0
3,74,74,-179177,12,1,12x48,7700625,9.58973
3,65,65,-149380,2,37,57x19,4601025,4.51456
3,3,3,-22,0,0,3x1,36,4e-06
3,61,61,-176515,0,23,60x32,3575881,3.12477
3,53,53,-127317,20,0,27x51,2047761,1.38687
3,32,32,-38938,4,2,26x26,278784,0.076408
3,75,75,-427790,21,16,49x55,8122500,10.3689
3,34,34,-46313,0,12,31x14,354025,0.107888
3,36,36,-58367,0,0,30x29,443556,0.149776
3,58,58,-188627,9,4,45x30,2927521,2.3323
3,19,19,-3439,7,2,9x5,36100,0.003856
3,68,68,-292209,8,15,59x50,5503716,5.86941
3,76,76,-356242,10,44,51x30,8561476,11.2003
3,70,70,-209499,47,4,23x66,6175225,6.95709
3,16,16,-4055,0,6,15x8,18496,0.001488
3,29,29,-16356,6,10,20x17,189225,0.043376
3,69,69,-242348,3,0,19x51,5832225,6.44472
3,59,59,-256693,13,1,38x45,3132900,2.58144
3,21,21,-6258,10,1,11x10,53361,0.007024
3,71,71,-454587,9,17,55x34,6533136,7.56539
3,44,44,-70042,17,3,22x34,980100,0.473312
3,62,62,-250979,0,0,25x51,3814209,3.44826
3,41,41,-80497,9,1,29x28,741321,0.315368
3,60,60,-158633,21,28,35x32,3348900,2.83675
3,64,64,-122979,56,10,7x30,4326400,4.13008
3,11,11,-910,0,0,10x7,4356,0.000208
3,31,31,-14896,15,4,14x9,246016,0.063872
3,12,12,-1957,5,1,5x11,6084,0.0004
3,37,37,-29113,9,1,28x19,494209,0.17512
3,42,42,-64769,7,6,35x22,815409,0.36264
3,52,52,-109523,19,0,20x48,1898884,1.24115
3,46,46,-89239,2,18,37x28,1168561,0.61144
3,77,77,-400077,21,2,45x32,9018009,12.0763
3,54,54,-127050,5,12,24x42,2205225,1.54403
3,48,48,-69315,6,5,10x40,1382976,0.783072
3,1,1,-1,0,0,1x1,1,0
3,78,78,-667707,0,0,60x69,9492561,13.0904
3,57,57,-261123,2,6,53x39,2732409,2.12706
3,33,33,-26253,18,6,15x26,314721,0.091904
3,17,17,-4046,2,9,15x8,23409,0.00208
3,6,6,-159,1,0,5x3,441,0
3,56,56,-159220,7,16,48x39,2547216,1.90826
3,50,50,-113440,31,0,19x28,1625625,0.988768
3,9,9,-413,2,1,4x5,2025,8e-05
3,8,8,-333,0,1,7x5,1296,4.8e-05
3,30,30,-23367,5,1,17x28,216225,0.053008
3,49,49,-89671,28,2,14x27,1500625,0.881744
3,5,5,-65,1,0,2x4,225,1.6e-05
3,63,63,-142194,0,14,17x42,4064256,3.76502
3,38,38,-33909,20,2,17x36,549081,0.204448
3,35,35,-32771,3,8,32x15,396900,0.127552
3,47,47,-69670,0,11,28x20,1272384,0.693376
3,26,26,-19376,2,0,20x25,123201,0.023248
3,73,73,-296417,11,0,39x35,7295401,8.8563
4,23,23,-17590,3,0,20x21,76176,0.014245
4,39,39,-42792,12,17,14x22,608400,0.237753
4,24,24,-14299,3,4,21x20,90000,0.014721
4,28,28,-13561,5,3,13x10,164836,0.035678
4,66,66,-344390,21,0,45x64,4888521,4.96601
4,67,67,-262577,6,8,60x29,5189284,5.38164
4,79,79,-406222,18,29,60x49,9985600,14.0387
4,10,10,-514,2,0,3x10,3025,0.000112
4,51,51,-153760,5,1,46x35,1758276,1.11006
4,40,40,-41468,0,33,37x7,672400,0.274328
4,80,80,-402170,30,14,49x57,10497600,15.09
4,27,27,-8200,0,6,19x4,142884,0.028848
4,13,13,-1521,0,2,8x9,8281,0.000452
4,22,22,-5738,0,1,3x21,64009,0.008932
4,43,43,-52565,7,37,36x6,894916,0.415188
4,25,25,-10231,0,5,13x14,105625,0.01872
4,55,55,-129056,32,5,23x41,2371600,1.71718
4,14,14,-2317,2,0,12x9,11025,0.000696
4,72,72,-327809,34,20,38x52,6906384,8.17254
4,20,20,-3702,1,3,5x12,44100,0.00536
4,15,15,-2145,4,1,6x14,14400,0.001012
4,7,7,-284,4,0,2x7,784,2e-05
4,18,18,-4221,0,5,18x7,29241,0.003028
4,45,45,-100837,1,14,42x25,1071225,0.53964
4,4,4,-24,2,0,1x2,100,0
4,2,2,-6,1,0,1x2,9,0
4,74,74,-179177,12,1,12x48,7700625,9.60708
4,65,65,-149380,2,37,57x19,4601025,4.50126
4,3,3,-22,0,0,3x1,36,0
4,61,61,-176515,0,23,60x32,3575881,3.12701
4,53,53,-127317,20,0,27x51,2047761,1.3873
4,32,32,-38938,4,2,26x26,278784,0.076912
4,75,75,-427790,21,16,49x55,8122500,10.396
4,34,34,-46313,0,12,31x14,354025,0.108512
4,36,36,-58367,0,0,30x29,443556,0.150248
4,58,58,-188627,9,4,45x30,2927521,2.33741
4,19,19,-3439,7,2,9x5,36100,0.003888
4,68,68,-292209,8,15,59x50,5503716,5.8695
4,76,76,-356242,10,44,51x30,8561476,11.1882
4,70,70,-209499,47,4,23x66,6175225,6.93185
4,16,16,-4055,0,6,15x8,18496,0.001448
4,29,29,-16356,6,10,20x17,189225,0.043088
4,69,69,-242348,3,0,19x51,5832225,6.37509
4,59,59,-256693,13,1,38x45,3132900,2.56374
4,21,21,-6258,10,1,11x10,53361,0.006696
4,71,71,-454587,9,17,55x34,6533136,7.52998
4,44,44,-70042,17,3,22x34,980100,0.470664
4,62,62,-250979,0,0,25x51,3814209,3.43022
4,41,41,-80497,9,1,29x28,741321,0.314784
4,60,60,-158633,21,28,35x32,3348900,2.84284
4,64,64,-122979,56,10,7x30,4326400,4.12955
4,11,11,-910,0,0,10x7,4356,0.000192
4,31,31,-14896,15,4,14x9,246016,0.063088
4,12,12,-1957,5,1,5x11,6084,0.000304
4,37,37,-29113,9,1,28x19,494209,0.174496
4,42,42,-64769,7,6,35x22,815409,0.361664
4,52,52,-109523,19,0,20x48,1898884,1.24067
4,46,46,-89239,2,18,37x28,1168561,0.609888
4,77,77,-400077,21,2,45x32,9018009,12.0589
4,54,54,-127050,5,12,24x42,2205225,1.54534
4,48,48,-69315,6,5,10x40,1382976,0.780608
4,1,1,-1,0,0,1x1,1,0
4,78,78,-667707,0,0,60x69,9492561,13.0225
4,57,57,-261123,2,6,53x39,2732409,2.10886
4,33,33,-26253,18,6,15x26,314721,0.090704
4,17,17,-4046,2,9,15x8,23409,0.002032
4,6,6,-159,1,0,5x3,441,0
4,56,56,-159220,7,16,48x39,2547216,1.90514
4,50,50,-113440,31,0,19x28,1625625,0.989216
4,9,9,-413,2,1,4x5,2025,8e-05
4,8,8,-333,0,1,7x5,1296,3.2e-05
4,30,30,-23367,5,1,17x28,216225,0.0524
4,49,49,-89671,28,2,14x27,1500625,0.877024
4,5,5,-65,1,0,2x4,225,1.6e-05
4,63,63,-142194,0,14,17x42,4064256,3.75619
4,38,38,-33909,20,2,17x36,549081,0.203152
4,35,35,-32771,3,8,32x15,396900,0.126256
4,47,47,-69670,0,11,28x20,1272384,0.687984
4,26,26,-19376,2,0,20x25,123201,0.022944
4,73,73,-296417,11,0,39x35,7295401,8.85214
5,23,23,-17590,3,0,20x21,76176,0.011406
5,39,39,-42792,12,17,14x22,608400,0.234804
5,24,24,-14299,3,4,21x20,90000,0.01472
5,28,28,-13561,5,3,13x10,164836,0.034933
5,66,66,-344390,21,0,45x64,4888521,4.92367
5,67,67,-262577,6,8,60x29,5189284,5.37157
5,79,79,-406222,18,29,60x49,9985600,13.995
5,10,10,-514,2,0,3x10,3025,0.000142
5,51,51,-153760,5,1,46x35,1758276,1.10274
5,40,40,-41468,0,33,37x7,672400,0.271738
5,80,80,-402170,30,14,49x57,10497600,15.089
5,27,27,-8200,0,6,19x4,142884,0.028372
5,13,13,-1521,0,2,8x9,8281,0.000444
5,22,22,-5738,0,1,3x21,64009,0.008864
5,43,43,-52565,7,37,36x6,894916,0.413032
5,25,25,-10231,0,5,13x14,105625,0.018316
5,55,55,-129056,32,5,23x41,2371600,1.7094
5,14,14,-2317,2,0,12x9,11025,0.000764
5,72,72,-327809,34,20,38x52,6906384,8.14766
5,20,20,-3702,1,3,5x12,44100,0.005084
5,15,15,-2145,4,1,6x14,14400,0.000984
5,7,7,-284,4,0,2x7,784,2e-05
5,18,18,-4221,0,5,18x7,29241,0.0028
5,45,45,-100837,1,14,42x25,1071225,0.5374
5,4,4,-24,2,0,1x2,100,4e-06
5,2,2,-6,1,0,1x2,9,0
5,74,74,-179177,12,1,12x48,7700625,9.57762
5,65,65,-149380,2,37,57x19,4601025,4.51968
5,3,3,-22,0,0,3x1,36,0
5,61,61,-176515,0,23,60x32,3575881,3.12946
5,53,53,-127317,20,0,27x51,2047761,1.38658
5,32,32,-38938,4,2,26x26,278784,0.075664
5,75,75,-427790,21,16,49x55,8122500,10.3664
5,34,34,-46313,0,12,31x14,354025,0.107264
5,36,36,-58367,0,0,30x29,443556,0.147936
5,58,58,-188627,9,4,45x30,2927521,2.32339
5,19,19,-3439,7,2,9x5,36100,0.003816
5,68,68,-292209,8,15,59x50,5503716,5.84938
5,76,76,-356242,10,44,51x30,8561476,11.2144
5,70,70,-209499,47,4,23x66,6175225,6.94317
5,16,16,-4055,0,6,15x8,18496,0.001616
5,29,29,-16356,6,10,20x17,189225,0.043384
5,69,69,-242348,3,0,19x51,5832225,6.38808
5,59,59,-256693,13,1,38x45,3132900,2.5799
5,21,21,-6258,10,1,11x10,53361,0.006864
5,71,71,-454587,9,17,55x34,6533136,7.54064
5,44,44,-70042,17,3,22x34,980100,0.474696
5,62,62,-250979,0,0,25x51,3814209,3.43246
5,41,41,-80497,9,1,29x28,741321,0.316208
5,60,60,-158633,21,28,35x32,3348900,2.84222
5,64,64,-122979,56,10,7x30,4326400,4.12926
5,11,11,-910,0,0,10x7,4356,0.000224
5,31,31,-14896,15,4,14x9,246016,0.063472
5,12,12,-1957,5,1,5x11,6084,0.00032
5,37,37,-29113,9,1,28x19,494209,0.175584
5,42,42,-64769,7,6,35x22,815409,0.362736
5,52,52,-109523,19,0,20x48,1898884,1.24062
5,46,46,-89239,2,18,37x28,1168561,0.614416
5,77,77,-400077,21,2,45x32,9018009,12.0991
5,54,54,-127050,5,12,24x42,2205225,1.54355
5,48,48,-69315,6,5,10x40,1382976,0.781008
5,1,1,-1,0,0,1x1,1,0
5,78,78,-667707,0,0,60x69,9492561,12.9869
5,57,57,-261123,2,6,53x39,2732409,2.10237
5,33,33,-26253,18,6,15x26,314721,0.090048
5,17,17,-4046,2,9,15x8,23409,0.002016
5,6,6,-159,1,0,5x3,441,0
5,56,56,-159220,7,16,48x39,2547216,1.89554
5,50,50,-113440,31,0,19x28,1625625,0.984048
5,9,9,-413,2,1,4x5,2025,6.4e-05
5,8,8,-333,0,1,7x5,1296,4.8e-05
5,30,30,-23367,5,1,17x28,216225,0.052016
5,49,49,-89671,28,2,14x27,1500625,0.875536
5,5,5,-65,1,0,2x4,225,1.6e-05
5,63,63,-142194,0,14,17x42,4064256,3.75645
5,38,38,-33909,20,2,17x36,549081,0.202368
5,35,35,-32771,3,8,32x15,396900,0.126144
5,47,47,-69670,0,11,28x20,1272384,0.689328
5,26,26,-19376,2,0,20x25,123201,0.022784
